fact_id,campaign_id,customer_id,channel_id,record_date,device,country,impressions,clicks,conversions,spend,revenue
107,2870,3581,14,1-May-22,Mobile,United Kingdom,8746,181,7,4.06,572.19
108,2700,1759,10,13-06-2021,Mobile,India,889,2,0,0.61,0
109,2990,2541,8,24-Dec-21,Desktop,India,12216,199,2,129.07,118.78
110,3983,,6,17-Nov-19,Desktop,united states,244,3,0,3.43,0
111,3293,3552,3,30-09-2020,Mobile,Brazil,420,5,0,5.44,0
112,4366,569,1,11/23/2023,Mobile,Germany,43555,837,38,944.88,9212.62
113,2896,1592,13,10/29/2022,mobile ,U.K.,1739,79,4,1.55,411.39
114,35,2006,10,12/27/2020,Mobile,Saudi Arabia,235,1,0,0.46,0
115,1677,4049,8,17-Aug-19,Mobile,India,631,7,0,4.62,0
116,1860,465,1,29-Nov-21,Mobile,Mexico,1242,29,0,35.18,0
117,4569,4229,1,5-Jul-21, Mobile,Japan,13208,345,12,406.55,603.03
118,3045,4564,12,2-Mar-22,Desktop,Italy,1785,51,3,23.31,336.58
119,4113,2056,1,4/30/2022, Mobile,Spain,128,3,0,4.62,0
120,1492,511,2,22-02-2023,Desktop,Japan,149,2,0,2.03,0
121,595,3491,2,24-Oct-19,Desktop,United States,2923,53,2,40.23,210.68
122,692,5125,4,25-06-2022,Mobile,US,1933,20,0,12.65,0
123,954,2521,10,8/8/2020,Mobile,Japan,841,3,0,1.26,0
124,1963,629,2,18-Nov-23,Desktop,France,98,1,0,0.92,0
125,6331,261,7,20-Aug-22,Tablet,United Arab Emirates,1569,12,0,12.08,0
126,4187,3522,9,8-Mar-24,Mobile,United Kingdom,9195,178,6,89.88,332.73
127,6099,4691,14,6/5/2024,Mobile,Brazil,635,16,1,0.32,74.54
128,4668,3389,6,25-Sep-21,Mobile,INDONESIA,1343,9,0,10.33,0
129,1613,1505,15,7-Jul-20,Desktop,France,638,13,0,11.41,0
130,3769,2295,2,4/18/2022,Mobile,United Kingdom,2362,31,0,31.3,0
131,5067,1985,6,6/3/2023,Mobile,Australia,1562,8,0,8.84,0
132,756,352,15,7/9/2019,Mobile,United Arab Emirates,555,6,0,3.41,
133,1103,5136,13,7/8/2019,Mobile,U.S.A.,846,38,1,0.68,36.69
134,168,1247,12,27-Jan-25,Desktop,,958,23,1,13.43,83.27
135,2240,94,2,4/4/2020,Desktop,Canada,453,6,0,5.54,0
136,4998,1179,2,2/12/2020,Mobile,Nigeria,1012,15,0,10.42,0
137,1414,3406,5,27-Sep-21,Desktop,India,6844,37,1,124.53,196.95
138,4882,1251,12,5/8/2024,Tablet,Spain,1749,28,1,17.64,133.74
139,572,3849,6,2-Aug-23,tablet,United States,3020,21,0,22.26,0
140,123,1782,8,4/5/2022,Tablet,Germany,3189,45,0,37.31,0
141,4584,181,5,12/4/2024, Mobile,Egypt,1063,5,0,17.71,0
142,398,3487,5,7/30/2023,Mobile,France,4156,32,0,115.43,0
143,4819,681,6,2-Oct-22,Mobile,Italy,31,0,0,0,0
144,3004,1517,15,8/5/2020,Desktop,US,784,14,0,11.94,0
145,379,1024,15,6/6/2022,PC,United States,2456,73,2,40.83,153.83
146,2351,1133,13,4/8/2020,Mobile,Japan,305,19,1,0.45,88.89
147,1275,4176,8,8/6/2023,Mobile,Germany,1680,20,0,13.72,
148,929,2679,8,6/8/2022, Desktop,Egypt,1804,33,0,21.25,0
149,3333,3348,13,2/5/2022,Tablet,Spain,314,6,0,0.11,0
150,3589,1432,5,14-10-2023,Desktop,France,178,0,0,0,0
151,1013,3870,1,3/31/2024,Mobile,Mexico,1170,25,1,41.62,212.66
152,998,2226,8,30-Aug-20,Mobile,United States,2903,44,1,36.17,29.15
153,4217,7940,5,5/19/2020,Tablet,Spain,581,3,0,11.17,0
154,4946,1995,9,20-11-2019, Mobile,United States,1817,39,1,17.24,44.28
155,4670,1837,6,25-Feb-24,Mobile,Germany,5110,33,0,38.21,0
156,2640,3515,3,8/1/2020,Mobile,Brazil,154473,1490,33,1341.89,1811.59
157,2635,4983,10,10/12/2021,Mobile,United Kingdom,58001,209,2,79.13,152.91
158,475,4118,9,15-May-21,mobile ,Indonesia,292,6,0,3.34,0
159,1650,582,12,4/3/2020,Mobile,Nigeria,300,4,0,2.17,
160,2837,1171,13,7/28/2024,Desktop,United States,368,14,0,0.29,0
161,3340,3191,3,30-Nov-19,Mobile,United Kingdom,8615,110,2,99.15,243.69
162,2896,4240,13,13-09-2022,Desktop,India,4142,265,10,5.49,770.91
163,2827,4354,9,19-Apr-19,Mobile,U.K.,2106,32,0,14.47,0
164,2376,3910,13,5/4/2020,Mobile,Britain,6914,311,12,7.68,
165,2896,1741,13,18-10-2022,mobile ,  India  ,1287,18,0,0.33,
166,8607,4089,8,8/20/2019,Desktop,Canada,14319,173,3,100.3,157.56
167,4309,4388,14,3/5/2023,Desktop,France,3176,141,5,4.32,647.09
168,572,4360,6,9-Aug-23,Mobile,United Arab Emirates,1447,10,0,10.99,0
169,2896,3223,13,13-Sep-22,Mobile,Italy,253,11,13,0.23,0
170,446,1194,10,12/12/2021,Mobile,UK,4075,15,0,5.62,0
171,3845,1292,11,31-Jul-21,Mobile,Japan,2324,131,4,13.61,244.94
172,2306,1271,6,12/23/2019,Desktop,  Italy  ,557,4,0,5.45,0
173,2152,1442,2,1/28/2020,Mobile,Mexico,32031,390,10,352.94,518.84
174,4683,276,10,5/25/2019,Desktop,France,1030,5,0,1.95,0
175,1823,1241,4,10-Jun-21,Desktop,Nigeria,87594,1579,10,1106.98,414.15
176,1380,4921,1,8-Jul-19,Desktop,United Kingdom,743,29,1,38.26,60.89
177,4882,2083,12,5/5/2024,Mobile,Italy,2499,47,2,28.65,238.82
178,4834,4345,13,23-Aug-24,Mobile,Mexico,10493,568,7,9.65,669.5
179,3366,1804,8,24-11-2023,Desktop,Spain,11837,159,1,94.81,74.68
180,1696,3007,5,6-Dec-20,Mobile,Australia,19090,82,2,240.51,174.13
181,1142,1730,4,4/14/2020,Mobile,  United Kingdom  ,4825,73,1,55.15,27.57
182,1129,5064,1,24-07-2021,Mobile,India,1425,42,1,50.77,51.46
183,4688,1380,3,11/24/2020,TABLET,India,11529,120,4,127.1,283.46
184,4985,1686,4,6/30/2020,desktop,Canada,2861,56,1,37.69,41.44
185,386,2655,9,30-09-2020, Tablet ,Saudi Arabia,1579,27,0,11.76,0
186,3953,4032,15,7/20/2021,Mobile,France,6484,79,2,56.72,319.78
187,4189,3461,2,11/17/2023,Desktop,Australia,2030,27,1,21.38,114.87
188,1431,4842,5,3-Apr-22,TABLET,Nigeria,2270,13,0,58.9,0
189,1331,4638,13,3/6/2019,Mobile,Japan,1082,16,54,0.24,0
190,1650,4368,12,18-Apr-20,Mobile,Philippines,244,4,0,1.99,0
191,1227,5037,2,5/14/2022,Desktop,United States,4537,68,1,68.93,71.41
192,2799,3745,12,18-Apr-20,Desktop,Canada,295,10,0,5.16,0
193,317,293,10,5/24/2023,Mobile,united states,1064,3,0,1.01,0
194,3410,895,11,2-Feb-24,Tablet,Italy,12371,252,16,24.29,1637.4
195,210,186,10,19-Jan-21,Tablet,Canada,343,0,0,0,0
196,600,6575,1,25-Sep-24,Mobile,Mexico,658,14,0,14.14,0
197,3260,2917,10,5-Nov-20,Desktop,,4736,26,0,11.24,0
198,3663,2065,1,7/15/2020,Desktop,Canada,417,14,0,15.43,0
199,739,1909,13,23-07-2021,Mobile,Italy,2604,97,1,1.79,107.82
200,1958,852,11,11/25/2020,Mobile,Germany,1618,62,2,6.35,124.49
201,4083,4575,15,17-Apr-19,Mobile,Mexico,6034,112,2,85.31,229.39
202,2482,5074,7,10/30/2021,Mobile,Indonesia,77,0,0,0,0
203,6462,4113,4,6/16/2020,Mobile,India,1195,21,0,12.53,0
204,106,402,3,7-Mar-20,Desktop,ITALY,268,3,0,3.3,0
205,3190,1401,14,10/2/2020,Mobile,United Kingdom,2354,40,1,0.8,178.93
206,864,,2,4/7/2019,Desktop,Canada,197,1,0,0.93,0
207,1252,494,3,21-01-2024, Mobile,Canada,1480,15,0,15.69,0
208,3067,987,3,28-Feb-23,Mobile,U.K.,7095,69,1,63.3,82.76
209,4436,2532,13,15-07-2024,Mobile,Brazil,920,27,0,0.51,
210,2537,3021,13,4/27/2019,Smartphone,Netherlands,549,24,0,0.63,0
211,2408,,13,7-Sep-22,Mobile,South Africa,569,31,0,0.57,0
212,3900,916,9,25-Feb-22,Mobile,Canada,5130,81,3,38.55,-484.62
213,4520,3663,5,4/7/2019,Mobile,Japan,1212,6,0,23.53,0
214,886,112,1,27-Apr-23,Desktop,Canada,4444,170,7,188.12,602.54
215,2896,638,13,10/10/2022,Mobile,France,27777,1156,48,17.69,2553.59
216,4464,2964,5,1/4/2024,Mobile,  India  ,736,3,0,11.4,0
217,2800,2168,8,4/5/2022,Desktop,Germany,536,4,0,2.72,0
218,1314,4417,10,8/24/2022,Desktop,USA,2786,13,0,4.51,
219,3664,2263,6,8/2/2021,Mobile,India,358,1,0,1.13,0
220,4030,3950,15,4/12/2019,Desktop,France,1674,37,1,29.59,204.85
221,938,4999,11,19-02-2024,desktop,Germany,7111,312,11,27.94,1407.27
222,1386,2254,6,31-Dec-20,Mobile,United Arab Emirates,15557,114,1,132.21,
223,464,5093,12,10-Feb-20,Mobile,United States,8772,202,6,106.17,
224,4882,1103,12,16-May-24,Tablet,Japan,7769,148,6,87.86,348.67
225,615,4865,9,6/4/2020,Desktop,Mexico,18660,590,18,321.28,3057.59
226,1417,3777,2,5/5/2019,Mobile,NETHERLANDS,2844,39,1,43.47,72.37
227,2627,3,5,12/10/2021,Mobile,Australia,5281,43,2,147.95,314.29
228,2305,1318,7,11-May-21,Smartphone,Italy,5271,50,1,56.2,44.6
229,5047,4223,1,10/11/2020,Mobile,United Kingdom,9300,257,8,346.46,950.89
230,1634,1448,7,29-Sep-23,Desktop,Germany,1910,25,0,27.2,0
231,756,648,15,6-Jul-19,Mobile,Britain,5066,86,3,74.51,363.75
232,3024,4030,10,9/25/2024,Mobile,  Egypt  ,1083,4,0,1.64,0
233,3732,4278,13,12/12/2022,Mobile,  Spain  ,1661,61,2,1.53,195.36
234,3921,1417,8,,Mobile,Brazil,1803,15,0,8.56,0
235,1255,796,11,3-Apr-20,Mobile,Mexico,1784,48,1,6.02,
236,4191,4880,11,30-Jul-20,Mobile,Brazil,567,16,1,1.95,84.73
237,1099,1802,3,27-Oct-19,mobile,Spain,224,1,0,0.99,0
238,5029,789,12,7-May-24,mobile ,Canada,1120,12,0,6.49,0
239,2965,3880,5,30-07-2019,Mobile,Italy,547,2,0,6.95,0
240,2818,4759,9,8/14/2020,Mobile,United Kingdom,3194,62,2,32.53,110.65
241,1977,4201,15,27-May-23, Mobile,Canada,351,8,0,7.3,0
242,379,1366,15,15-04-2022,Tablet,Japan,6056,138,2,83.77,
243,2941,3636,12,11/12/2022,Desktop,France,400377,208,9,6515.756162,647.69
244,9424,1825,9,2/7/2024,Tablet,U.S.A.,233,5,0,2.93,0
245,4157,1044,2,8/27/2019,Desktop,India,4015,58,0,55.09,0
246,4917,4501,6,20-Jul-22,Mobile,Mexico,6402,38,0,47.62,0
247,4880,40,5,6-Feb-24,Desktop,United Kingdom,3197,31,1,118.5,226.91
248,4920,,11,1/3/2021,Mobile,U.K.,2468,81,2,8.47,122.63
249,1828,3022,1,1/6/2020,Tablet,Indonesia,1567,36,1,56.32,88.06
250,2999,2420,15,23-Feb-19,Desktop,Spain,473,10,0,9.01,0
251,3275,3726,14,6/10/2019,Mobile,Canada,1039,33,1,0.62,119.05
252,3282,2857,3,26-Jun-20,Mobile,Germany,4246,57,1,48.07,62.11
253,2809,264,1,24-Jun-23,MOBILE,Australia,2224,85,3,91.2,231.03
254,180,2307,6,19-03-2021,PC,Canada,1632,26,0,29.99,0
255,1457,311,11,11/20/2023,,United Kingdom,2046,54,1,4.07,66.08
256,2389,414,7,9/10/2023,Desktop,Germany,5671,76,2,72.99,
257,2375,3844,9,5/16/2020,Desktop,India,4340,56,1,25.9,
258,3242,3760,1,11/21/2024,Mobile,Philippines,1755,48,2,53.66,148.46
259,1277,3737,8,16-12-2020,Mobile,United Arab Emirates,603,5,0,2.94,0
260,3564,1639,11,21-Jul-22,mobile,Italy,1704,64,2,5.05,237.01
261,5062,1934,11,25-Jul-21,,United Kingdom,33799,1460,43,88.9,4954.12
262,3858,3326,3,16-Apr-19,Desktop,Brazil,927,12,0,14.57,0
263,4854,273,14,18-Apr-19,Mobile,Italy,1679,35,1,0.71,106.93
264,1375,1075,3,5/25/2023,Desktop,Canada,4154,32,0,27.37,0
265,2441,1540,12,3/3/2021,Desktop,Canada,333,10,0,5.82,0
266,643,2046,3,5/12/2020,Desktop,India,5946,96,1,111.29,44.28
267,4730,3652,6,8/22/2019,Desktop,Canada,2192,26,0,28.59,0
268,1025,300,15,21-Feb-22,Mobile,Italy,2901,57,1,55.84,80.86
269,756,1118,15,24-06-2019,Mobile,Canada,9692,304,9,251.53,1394.27
270,1598,1977,14,7/5/2021,Mobile,Philippines,658,18,0,0.41,0
271,1598,4974,14,24-Aug-21,Mobile,NIGERIA,1895,54,2,1.17,158.24
272,3213,202,10,8/2/2020,Mobile,Netherlands,6132,11,0,4.5,0
273,565,3542,1,10/19/2020,Mobile,,16464,294,19,349.55,4637.21
274,2291,4996,14,12-Jun-20,mobile ,Spain,4014,101,4,1.8,
275,4917,1639,6,11/7/2022,Desktop,Mexico,404,4,0,4.23,0
276,3398,3258,14,13-08-2023,Mobile,Nigeria,2261,45,2,1.18,270.82
277,414,4656,4,4/17/2021,Desktop,CANADA,2850,63,0,44.59,0
278,1257,4204,12,12/21/2021, Desktop,Canada,932,28,0,16.48,0
279,434,1993,10,10-Jun-22,Desktop,  Mexico  ,7558,21,0,9.13,0
280,4399,1710,7,1/11/2021,Desktop,Mexico,1303,13,0,11.09,0
281,168,2982,12,12/4/2024,Desktop,United States,591,10,0,4.08,0
282,479,4623,9,8/12/2021,Desktop,United Kingdom,13112,299,7,165.41,408.49
283,4359,1204,9,6-Jun-23,PC,Germany,1277,24,0,12.53,0
284,4785,1310,6,16-Nov-20,Desktop,India,17081,200,3,224.08,134.52
285,479,882,9,15-08-2021,Desktop,Indonesia,1282,31,1,14.89,213.09
286,3131,2364,12,26-Apr-22,Mobile,United States,3980,68,2,29.76,320.08
287,3691,934,7,9/7/2022,Mobile,Spain,3647,43,1,31.24,
288,1494,1083,6,3-Oct-21, Desktop,Indonesia,7365,96,1,91.92,45.16
289,1344,42,1,13-Dec-21,Tablet,Canada,1121,27,1,36.4,53.9
290,1616,1612,7,12/18/2023,PC,MEXICO,10175,96,1,91.29,112.41
291,2951,3759,15,3/31/2021,Desktop,Saudi Arabia,16491,465,505,421.74,2025.76
292,3402,4816,7,3/17/2021,Desktop,USA,2464,35,0,31.78,
293,3791,4041,1,5/31/2023,MOBILE,BRAZIL,527,17,0,25.3,0
294,4281,1617,7,11-Jul-22,Desktop,India,639,10,0,9.94,0
295,4836,3344,12,8/10/2022,Mobile,Canada,631,11,0,6.49,0
296,1153,3555,12,2-Nov-22, Desktop,France,2015,75,4,36.2,242.54
297,502,2901,1,9/1/2024,Tablet,Canada,2196,56,3,69.69,-237.82
298,1362,139,5,28-Dec-23,mobile,Spain,2494,13,0,42.41,0
299,1730,5649,13,6/20/2019,Desktop,USA,262,14,0,0.24,0
300,765,5060,8,2-Dec-20,Mobile,Italy,5469,70,1,57.78,45.39
301,4855,2867,11,11-Dec-24,Tablet,France,2900,132,5,9.09,409.78
302,2829,2786,15,11/20/2022,Mobile,U.S.A.,1396,27,0,20.74,0
303,2587,3867,4,4/30/2019,MOBILE,United States,681,9,0,7.12,0
304,3431,3947,14,4/17/2019,Mobile,Japan,479,13,0,0.24,
305,3564,5044,11,30-Jun-22,Mobile,Germany,176,7,0,0.59,0
306,2610,3038,11,14-05-2019,PC,United States,20772,1138,45,141.37,5770.46
307,3297,1994,7,1/1/2023,Desktop,Italy,25,0,0,0,0
308,3694,4944,1,22-Apr-20,Mobile,Italy,1857,55,2,68.12,171.67
309,4611,1682,4,18-02-2022,Desktop,united states,2691,91,1,59.42,48.93
310,4410,464,2,10-Aug-24,Desktop,Britain,3289,65,1,81.71,87.63
311,3932,667,1,----,Mobile,United States,2998,74,3,99.93,365.42
312,3569,58,11,5/5/2021,mobile,,1473,81,4,9.36,943.98
313,3515,2538,4,9/27/2021,Desktop,Japan,1444,26,0,18.72,0
314,4108,4603,10,25-12-2021,Desktop,Netherlands,72943,397,4,166.91,147.17
315,2776,3998,15,6-Jan-24,MOBILE,united states,380,5,0,3.14,0
316,4721,3965,14,5/29/2023,Mobile,Canada,7578,224,7,4.01,825.1
317,2221,1532,12,11-Nov-23,Desktop,South Africa,5242,162,4,95.5,137.72
318,1419,1891,4,21-Jan-24,desktop,Spain,1515,34,0,21.2,0
319,768,4545,4,11/26/2021,Desktop,  India  ,1088,17,0,8.15,0
320,27,1985,9,8/3/2021,mobile,Australia,404,7,0,4.13,
321,2936,1602,10,11/8/2023,MOBILE,UK,1642,5,0,2.15,0
322,330,1211,15,20-02-2020,Tablet,United States,3403,46,0,40.41,
323,2669,4531,2,2/20/2022,Tablet,Japan,1644,9,0,7.16,0
324,3947,3937,4,19-07-2021,Mobile,Japan,3480,71,0,45.07,0
325,1101,1904,5,6/6/2019,Desktop,Nigeria,1792,9,0,33.3,0
326,4249,2564,15,1/10/2020,Mobile,United Kingdom,193,3,0,2.65,0
327,2916,3663,11,28-Dec-20,MOBILE,India,843,30,1,1.83,72.25
328,3743,1712,4,11/15/2023,Mobile,India,12597,119,2,91.04,
329,2996,3728,11,22-Feb-22,Mobile,FRANCE,15168,605,42,63.44,9771.67
330,928,2527,4,4/7/2023,Desktop,United Kingdom,3251,86,1,51.91,77.45
331,4824,330,14,15-Feb-21,Desktop,Mexico,10050,258,8,6.41,1384.29
332,3550,7258,1,4-Apr-19,Tablet,Egypt,660,17,0,20.01,0
333,4343,5063,9,10/8/2023,Mobile,Canada,4843,97,3,52.13,150.8
334,9860,3070,7,25-Aug-24,Desktop,India,9640,122,3,118.93,208.35
335,3413,4607,7,21-12-2020,Tablet,Egypt,15646,117,2,130.71,77.04
336,3058,1014,10,8/1/2020,Tablet,Mexico,754,2,0,0.87,0
337,4473,3125,4,8/20/2020,Desktop,Britain,712,8,0,6.1,0
338,2507,,5,4/1/2024,Tablet,United Kingdom,394,1,0,3.42,0
339,4475,3026,3,6/13/2019,Desktop,Egypt,237,3,0,3.42,0
340,2695,1499,4,1/5/2019,Desktop,Japan,964,16,0,12.03,
341,1442,751,13,2/21/2021,Mobile,Germany,2211,77,3,1.77,314.95
342,2389,561,7,8/6/2023,Desktop,United States,1506,19,0,12.67,0
343,655,2036,4,1-Jan-24,Mobile,United States,193,3,0,1.75,0
344,2924,92,12,8/18/2024,Desktop,Brazil,525,20,0,11.03,0
345,4846,4176,12,5/25/2023,Mobile,United States,864,13,0,7.93,0
346,9468,390,6,11/15/2022,Desktop,Egypt,1407,12,0,13.4,0
347,3649,457,13,7/5/2023,Desktop,Netherlands,9132,244,8,6.33,411.63
348,2761,1844,15,25-May-21,Desktop,India,1545,21,0,21.06,0
349,886,1592,1,5/15/2023,Desktop,United Kingdom,94,3,0,4.5,0
